376.25,369.34;82.25,97.60
340.94,323.28;99.14,104.51
380.85,361.66;122.93,114.49
403.88,415.40;148.27,135.98
462.22,476.04;140.59,158.25
446.10,468.36;151.34,142.89
419.23,414.63;146.73,162.85
413.86,419.23;165.15,180.51
423.07,427.68;162.85,181.27
459.92,469.13;187.41,207.37
109.12,102.98;53.08,35.43
38.50,40.03;33.89,50.78
46.17,60.76;65.36,79.95
92.23,102.21;66.90,83.02
166.69,181.27;50.01,60.76
188.18,172.06;66.90,76.88
197.39,218.89;53.08,61.53
202.00,202.00;10.86,29.29
245.75,258.80;113.72,129.08
307.93,291.81;42.34,50.01
34.66,20.84;165.92,152.10
101.44,119.86;22.38,17.77
110.65,137.52;23.14,26.22
30.05,43.10;57.69,42.34
86.86,76.11;121.40,106.81
72.27,73.81;90.69,73.81
121.40,120.63;109.89,92.23
180.51,159.01;87.62,84.55
194.32,211.21;124.47,138.29
196.63,209.68;116.03,131.38
210.44,225.03;90.69,105.28
233.47,247.29;73.81,92.23
231.94,209.68;79.95,84.55
347.85,325.59;58.46,59.99
356.29,367.04;45.41,60.76
350.15,367.04;66.13,74.57
329.42,349.38;69.20,73.04
327.89,346.31;74.57,82.25
318.68,336.33;82.25,90.69
307.16,286.44;71.50,71.50
269.55,279.53;95.30,112.96
267.25,272.62;105.28,121.40
278.76,287.20;92.23,110.65
215.82,233.47;238.84,251.13
294.88,283.37;216.58,231.17
309.47,321.75;188.18,198.16
302.56,317.14;198.16,206.60
357.83,373.95;152.87,162.85
369.34,384.69;172.83,181.27
383.92,361.66;215.82,215.82
354.75,353.22;219.65,238.84
347.08,350.15;227.33,247.29
338.63,345.54;242.68,261.87
322.51,323.28;261.11,281.06
314.84,314.07;252.66,273.39
306.40,307.16;271.08,293.35
287.20,294.11;302.56,320.21
254.96,238.08;330.19,341.71
217.35,225.80;343.24,357.83
205.07,214.28;334.80,353.99
379.32,392.37;360.90,370.87
410.79,415.40;349.38,367.80
401.58,411.56;381.62,396.21
106.05,124.47;183.58,187.41
44.64,56.15;215.82,202.77
34.66,53.08;297.18,302.56
74.57,90.69;311.77,324.05
174.37,175.90;371.64,391.60
158.25,160.55;464.52,484.48
192.02,182.04;473.74,495.23
298.72,281.06;472.20,488.32
309.47,288.74;483.71,489.86
407.72,394.67;443.03,459.92
404.65,392.37;482.95,496.76
420.77,413.86;476.81,498.30
185.88,201.23;176.67,183.58
382.39,395.44;274.16,287.97
397.74,406.95;271.08,285.67
469.13,489.09;249.59,240.38
439.96,418.47;226.56,225.80
458.38,468.36;227.33,210.44
427.68,408.49;317.91,314.84
319.44,295.65;367.80,368.57
99.91,76.11;200.46,204.30
106.81,86.86;208.14,210.44
159.78,159.78;281.06,301.02
143.66,129.08;277.23,284.90
156.71,141.36;271.85,285.67
341.71,363.20;340.17,340.17
349.38,331.73;320.21,336.33
350.92,332.49;304.86,293.35
149.03,164.39;399.28,396.21
174.37,192.02;413.09,424.61
205.07,202.00;386.23,368.57
199.70,216.58;391.60,396.21
